,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
172,"Dominguez Perez, Leinier","Svidler, Peter",2758,2714,2021.08.15,blitz,1-0,
173,"Skripchenko, Almira","Dominguez Perez, Leinier",2450,2565,2001.01.14,swiss,1/2-1/2,B52
174,"Leko, Peter","Dominguez Perez, Leinier",2721,2743,2019.05.17,blitz,1/2-1/2,
175,"Gasimov, Ilgar","Dominguez Perez, Leinier",2757,2712,2011.12.12,blitz,1-0,C26
176,"Dominguez Perez, Leinier","Smerdon, David C",2719,2525,2009.11.21,k.o.,1/2-1/2,B76
177,"Stojanovic, Dalibor","Dominguez Perez, Leinier",,,2000.10.??,,0-1,B54
178,"Bruzon Batista, Lazaro","Dominguez Perez, Leinier",2614,2610,2003.07.12,,1/2-1/2,E46
179,"Dominguez Perez, Leinier","So, Wesley",2739,2788,2017.11.12,match (blitz),1-0,C42
180,"Mieles Palau, Daniel","Dominguez Perez, Leinier",2468,2607,2003.??.??,,0-1,B52
181,"Dominguez Perez, Leinier","Arias, Jorge",2215,2430,1998.??.??,tourn,1/2-1/2,C16
182,"Dominguez Perez, Leinier","Hernandez Onna, Roman",2508,2402,2000.06.03,tourn,1-0,C98
183,"Wang, Hao","Dominguez Perez, Leinier",2735,2754,2013.12.15,tourn (blitz),1-0,A12
184,"Vescovi, Giovanni","Dominguez Perez, Leinier",2618,2610,2003.08.26,swiss,1-0,B52
185,"Mihajlov, Sebastian","Dominguez Perez, Leinier",2387,2763,2020.01.30,blitz,0-1,B90
186,"Dominguez Perez, Leinier","Polgar, Judit",2719,2711,2008.11.08,tourn (blitz),1-0,B41
187,"Grischuk, Alexander","Dominguez Perez, Leinier",2752,2732,2016.05.04,swiss (blitz),1/2-1/2,E11
188,"Dominguez Perez, Leinier","Vachier Lagrave, Maxime",2726,2758,2014.12.13,tourn (blitz),1/2-1/2,A36
189,"Caruana, Fabiano","Dominguez Perez, Leinier",2700,2716,2010.09.25,team-swiss,1/2-1/2,D45
190,"Almeida Quintana, Omar","Dominguez Perez, Leinier",2452,2658,2005.04.21,k.o.,1/2-1/2,D12
191,"Dominguez Perez, Leinier","Karpov, Anatoly",,,????.??.??,,1/2-1/2,
192,"Caruana, Fabiano","Dominguez Perez, Leinier",2781,2756,2022.04.29,blitz,1-0,C43
193,"Juarez Flores, Carlos Armando","Dominguez Perez, Leinier",2392,2607,2003.10.12,tourn,0-1,B52
194,"Caruana, Fabiano","Dominguez Perez, Leinier",2781,2756,????.??.??,,0-1,
195,"Keymer, Vincent","Dominguez Perez, Leinier",2655,2756,2022.03.28,,0-1,
196,"Dominguez Perez, Leinier","Rodriguez Vila, Andres",2639,2523,2005.08.11,simul,1/2-1/2,C78
197,"Caruana, Fabiano","Dominguez Perez, Leinier",2773,2786,2020.05.26,,1-0,
198,"Ivanchuk, Vassily","Dominguez Perez, Leinier",2704,2726,2014.12.12,swiss (rapid),1-0,D85
199,"Umetsubo, Cesar Hidemitsu","Dominguez Perez, Leinier",,2190,1997.??.??,,1/2-1/2,D04
200,"Dominguez Perez, Leinier","Bareev, Evgeny",2655,2683,2006.11.22,swiss,1/2-1/2,C18
201,"Bocharov, Dmitry","Dominguez Perez, Leinier",,,2015.10.12,rapid,1/2-1/2,A48
202,"Dominguez Perez, Leinier","Pichot, Alan",2739,2552,2018.02.03,,1-0,B01
203,"Dominguez Perez, Leinier","Gelfand, Boris",2758,2675,2021.07.04,,1-0,B67
204,"Ponomariov, Ruslan","Dominguez Perez, Leinier",2731,2754,2013.12.16,tourn (blitz),1-0,B07
205,"Aronian, Levon","Dominguez Perez, Leinier",2785,2756,????.??.??,,1-0,
206,"Lysyj, Igor","Dominguez Perez, Leinier",2629,2719,2011.09.05,k.o.,1/2-1/2,D15
207,"Dominguez Perez, Leinier","Garcia Carey, Osmel",2556,2300,2001.04.02,tourn,1-0,C18
208,"Dominguez Perez, Leinier","Kasimdzhanov, Rustam",2596,2706,2001.10.12,,0-1,C97
209,"Wang, Hao","Dominguez Perez, Leinier",2726,2763,2019.09.18,,1/2-1/2,A07
210,"Naiditsch, Arkadij","Dominguez Perez, Leinier",2687,2739,2016.12.29,swiss (blitz),1/2-1/2,C48
211,"Dominguez Perez, Leinier","Karjakin, Sergey",2717,2706,2009.02.01,,0-1,B90
212,"Lopez Martinez, Josep Manuel","Dominguez Perez, Leinier",2350,2585,1998.10.30,,0-1,B90
213,"Salvador, Carlos","Dominguez Perez, Leinier",2245,2607,2003.10.20,tourn,0-1,B95
214,"Fridman, Daniel","Dominguez Perez, Leinier",2644,2760,2019.07.19,,1/2-1/2,
215,"Nepomniachtchi, Ian","Dominguez Perez, Leinier",2751,2739,2017.08.18,tourn (blitz),1-0,C00
216,"Dominguez Perez, Leinier","Georgiev, Vladimir",2608,2501,2002.12.15,k.o.,1/2-1/2,C41
217,"Aronian, Levon","Dominguez Perez, Leinier",2784,2732,2015.10.14,blitz,1/2-1/2,A35
218,"Ivanov, Alexander, Dr.","Dominguez Perez, Leinier",2566,2639,2005.08.14,swiss,1/2-1/2,C42
219,"Koneru, Humpy","Dominguez Perez, Leinier",2468,2610,2003.07.10,,0-1,D11
220,"Mitkov, Nikola","Dominguez Perez, Leinier",2509,2506,1999.11.21,team,1/2-1/2,B43
221,"Dreev, Aleksey","Dominguez Perez, Leinier",2689,2612,2004.06.26,k.o.,1/2-1/2,D12
222,"Dominguez Perez, Leinier","Jakovenko, Dmitry",2726,2733,2015.02.23,tourn,1/2-1/2,C77
223,"Giri, Anish","Dominguez Perez, Leinier",2714,2712,2011.12.10,swiss (rapid),1/2-1/2,B90
224,"Dominguez Perez, Leinier","Grischuk, Arina",2758,2777,2020.09.18,blitz,0-1,B92
