,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
141,"So, Wesley","Ghaem Maghami, Ehsan",2531,2591,2007.12.07,swiss,1/2-1/2,B93,9
142,"So, Wesley","Karjakin, Sergey",2776,2750,2019.08.24,,1/2-1/2,D37,7
143,"So, Wesley","Shankland, Sam",2778,2704,2022.03.29,,1/2-1/2,,8
144,"So, Wesley","Karjakin, Sergey",2812,2781,2017.06.10,tourn (blitz),1/2-1/2,C54,4.5
145,"Hillarp Persson, Tiger","So, Wesley",2586,2627,2009.01.31,tourn,0-1,D11,12
146,"Vachier Lagrave, Maxime","So, Wesley",,,2015.09.20,k.o.,1/2-1/2,C67,4.1
147,"Petrosian, Tigran L","So, Wesley",2601,2770,2020.09.27,,1-0,A08,4.3
148,"So, Wesley","Iordachescu, Viorel",2778,2588,2015.06.02,team-tourn,1/2-1/2,C42,4.2
149,"Guseinov, Gadir","So, Wesley",2625,2640,2009.11.23,k.o.,0-1,B80,1.5
150,"Caruana, Fabiano","So, Wesley",2773,2741,2020.06.11,,0-1,,10.3
151,"Vachier Lagrave, Maxime","So, Wesley",2860,2741,2020.06.08,,1-0,,5.7
152,"Vachier Lagrave, Maxime","So, Wesley",2774,2767,2019.11.19,,0-1,A35,2.7
153,"Nakamura, Hikaru","So, Wesley",2829,2741,2020.11.27,schev,1/2-1/2,,12.2
154,"So, Wesley","Praggnanandhaa, Rameshbabu",2780,2529,2018.07.07,k.o.,1/2-1/2,D00,1.3
155,"So, Wesley","Gupta, Abhijeet",2540,2521,2008.04.12,swiss,1-0,C60,7
156,"So, Wesley","Vachier Lagrave, Maxime",2770,2778,2020.06.08,,1-0,B00,1.12
157,"Sadhwani, Raunak","So, Wesley",2616,2772,2022.02.12,rapid,1/2-1/2,E06,2
158,"Bregadze, Levan","So, Wesley",2396,2719,2013.12.28,team-swiss,0-1,A09,3.1
159,"So, Wesley","Corrales Jimenez, Fidel",2678,2611,2012.11.26,,1/2-1/2,E06,6.1
160,"Abdusattorov, Nodirbek","So, Wesley",2662,2816,2020.11.08,,0-1,,1.2
161,"So, Wesley","Krishna, CRG.",2776,2445,2018.10.20,swiss,1/2-1/2,A50,1
162,"Rodshtein, Maxim","So, Wesley",2609,2674,2010.07.21,,0-1,D87,3
163,"So, Wesley","Vidit, Santosh Gujrathi",2780,2718,2018.10.09,,1-0,E32,?
164,"So, Wesley","Vachier Lagrave, Maxime",2789,2783,2017.06.28,tourn (blitz),1/2-1/2,D85,2
165,"Mamedyarov, Shakhriyar","So, Wesley",2801,2780,2018.08.18,tourn,1-0,D30,1
166,"Howell, David W L","So, Wesley",2606,2656,2010.01.30,tourn,1/2-1/2,C07,12
167,"So, Wesley","Firouzja, Alireza",2772,2759,2021.08.28,rapid,1/2-1/2,,5.7
168,"Ding, Liren","So, Wesley",2801,2760,2019.11.26,blitz,1/2-1/2,D37,10.1
169,"Nakamura, Hikaru","So, Wesley",2829,2741,2020.05.27,,1/2-1/2,,2.12
170,"Guseinov, Gadir","So, Wesley",2625,2640,2009.11.22,k.o.,1-0,C07,1.2
171,"So, Wesley","Firouzja, Alireza",2776,2804,2022.05.13,,1/2-1/2,E92,8.1
172,"So, Wesley","Mamedyarov, Shakhriyar",2754,2774,2019.07.01,,1-0,A15,6.3
173,"Carlsen, Magnus","So, Wesley",2863,2770,2020.05.26,,1/2-1/2,C67,1.22
174,"Ivanchuk, Vassily","So, Wesley",2739,2640,2009.11.24,k.o.,0-1,C01,2.1
175,"Fedoseev, Vladimir","So, Wesley",2731,2792,2017.09.15,k.o.,1/2-1/2,C42,5.1
176,"Wei, Yi","So, Wesley",2696,2770,2016.07.22,swiss,1/2-1/2,E05,9
177,"So, Wesley","Aronian, Levon",2776,2765,2022.05.14,,1-0,D20,1
178,"So, Wesley","Vachier Lagrave, Maxime",2762,2757,2015.01.20,tourn,1/2-1/2,D87,9
179,"Anand, Viswanathan","So, Wesley",2757,2760,2019.11.25,blitz,1-0,C65,4.2
180,"Catalino Sadorra, Julio","So, Wesley",2455,2540,2008.04.25,,0-1,E25,1.4
181,"Carlsen, Magnus","So, Wesley",2847,2772,2021.08.28,rapid,1-0,,1.8
182,"Karjakin, Sergey","So, Wesley",2748,2763,2019.07.15,,1/2-1/2,,10.1
183,"So, Wesley","Navara, David",2653,2706,2012.06.06,team-tourn,1/2-1/2,D90,7.2
184,"Radjabov, R.","So, Wesley",2765,2770,2021.02.11,rapid,1-0,D55,2.12
185,"So, Wesley","Aronian, Levon",2778,2764,2018.05.27,blitz,1/2-1/2,A15,?
186,"Gelfand, Boris","So, Wesley",2739,2674,2010.08.20,,1/2-1/2,D45,8
187,"Deac, Bogdan Daniel","So, Wesley",2671,2776,2022.05.12,,1/2-1/2,D27,7.1
188,"Xiu, Deshun","So, Wesley",2422,2641,2009.05.15,swiss,0-1,E15,3
189,"Giri, Anish","So, Wesley",2782,2778,2018.06.16,blitz,0-1,C19,14
190,"So, Wesley","Nguyen, Ngoc Truong Son",2330,2535,2006.08.27,,0-1,B07,11
191,"Hernandez Carmenate, Holden","So, Wesley",2524,2411,2006.10.28,,1/2-1/2,E12,9
192,"So, Wesley","Garcia, Jan Emmanuel",2658,2404,2011.07.19,tourn,1/2-1/2,E94,6
193,"Rombaldoni, Axel","So, Wesley",2528,2773,2015.10.09,,0-1,A45,3.2
194,"Nakamura, Hikaru","So, Wesley",2745,2767,2020.02.21,,1-0,C27,4.31
195,"So, Wesley","Ding, Liren",2754,2805,2019.06.26,tourn,1-0,A23,1.3
196,"So, Wesley","Caruana, Fabiano",2822,2817,2017.03.25,,1/2-1/2,D12,4.9
197,"Paragua, Mark","So, Wesley",2514,2531,2007.12.04,swiss,1/2-1/2,E15,6
198,"Aronian, Levon","So, Wesley",2809,2810,2017.08.08,tourn,1-0,D38,6
199,"Nakamura, Hikaru","So, Wesley",2745,2767,2020.02.21,,1-0,D27,4.3
200,"So, Wesley","Howell, David W L",2577,2561,2008.08.12,swiss,1-0,C91,10
201,"Paravyan, David","So, Wesley",2617,2772,2022.02.19,rapid,1/2-1/2,C47,8
