,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
2449,"Anand, Viswanathan","Ye, Rongguang",2610,2525,1990.??.??,swiss,1-0,C73,2
2450,"Anand, Viswanathan","Svidler, Peter",,,2016.10.04,swiss,1/2-1/2,,7
2451,"Kasimdzhanov, Rustam","Anand, Viswanathan",,,1999.01.18,,0-1,E12,6
2452,"Gelfand, Boris","Anand, Viswanathan",2736,2801,2007.11.21,,0-1,D15,17
2453,"Kramnik, Vladimir","Anand, Viswanathan",2777,2766,2003.10.30,,1/2-1/2,B85,3.1
2454,"Anand, Viswanathan","Chernin, Alexander",2770,2592,2001.10.31,,1/2-1/2,B08,4.1
2455,"Carlsen, Magnus","Anand, Viswanathan",2875,2767,2019.06.27,,1/2-1/2,,2.1
2456,"Adianto, Utut","Anand, Viswanathan",,,1989.??.??,,0-1,D20,?
2457,"Anand, Viswanathan","Polgar, Judit",2715,2630,1994.??.??,,1-0,B80,10
2458,"Dreev, Aleksey","Anand, Viswanathan",2670,2725,1995.??.??,,1-0,E12,3
2459,"Carlsen, Magnus","Anand, Viswanathan",2870,2757,2019.11.24,rapid,1-0,D38,7.3
2460,"Kovalyov, Anton","Anand, Viswanathan",2649,2794,2017.09.07,k.o.,1/2-1/2,A20,2.2
2461,"Anand, Viswanathan","Schnorr, G.",2715,,1994.??.??,simul,1-0,B80,?
2462,"Gelfand, Boris","Anand, Viswanathan",2727,2791,2012.05.30,match (rapid),1/2-1/2,D46,1
2463,"Anand, Viswanathan","Georgiev, Kiril Malinov",2555,2595,1988.12.31,,1/2-1/2,B78,4
2464,"Carlsen, Magnus","Anand, Viswanathan",2843,2780,2012.10.12,tourn,1-0,B52,9
2465,"Anand, Viswanathan","Kramnik, Vladimir",2770,2790,1998.01.26,,1/2-1/2,B33,9
2466,"Nakamura, Hikaru","Anand, Viswanathan",2751,2810,2011.01.25,tourn,1/2-1/2,E13,9
2467,"Anand, Viswanathan","Karpov, Anatoly",2781,2710,1999.06.13,,1-0,C43,6
2468,"Anand, Viswanathan","Dominguez Perez, Leinier",2783,2739,2017.08.18,tourn (blitz),0-1,C54,16
2469,"Anand, Viswanathan","Leko, Peter",2788,2763,2005.10.03,tourn,1/2-1/2,B33,5
2470,"Anand, Viswanathan","Rivas Pastor, Manuel",2710,2515,1993.??.??,,1/2-1/2,B07,2
2471,"Chuchelov, Vladimir","Anand, Viswanathan",,,1991.??.??,,1-0,A53,?
2472,"Anand, Viswanathan","Khalifman, Alexander",2762,2667,2000.12.11,k.o.,1-0,D17,5.5
2473,"Anand, Viswanathan","Adams, Michael",,,1994.??.??,,1-0,B17,1
2474,"Kramnik, Vladimir","Anand, Viswanathan",2715,2715,1995.??.??,tourn,1/2-1/2,D85,6
2475,"Khalifman, Alexander","Anand, Viswanathan",,,1987.??.??,,0-1,E12,1
2476,"Manor, Ilan","Anand, Viswanathan",2375,2505,1987.??.??,,1-0,E05,4
2477,"Kasimdzhanov, Rustam","Anand, Viswanathan",2678,2786,2005.03.06,,0-1,B50,11
2478,"Jakovenko, Dmitry","Anand, Viswanathan",2704,2779,2016.12.28,rapid,1/2-1/2,D38,15.7
2479,"Anand, Viswanathan","Adams, Michael",2781,2716,1999.04.07,tourn,1/2-1/2,C89,2
2480,"Anand, Viswanathan","Pantsulaia, Levan",2753,2553,2020.08.23,,1/2-1/2,,7.1
2481,"Anand, Viswanathan","Meier, Georg",2774,2628,2019.04.27,tourn,0-1,C10,7
2482,"Naiditsch, Arkadij","Anand, Viswanathan",2689,2788,2009.11.18,,0-1,B90,37
2483,"Caruana, Fabiano","Anand, Viswanathan",2823,2779,2016.11.12,tourn,1/2-1/2,A13,6
2484,"Nikolic, Predrag","Anand, Viswanathan",2655,2765,1997.02.07,tourn,1-0,D76,4
2485,"Shirov, Alexei","Anand, Viswanathan",2655,2670,1992.??.??,tourn,1/2-1/2,D20,6
2486,"Anand, Viswanathan","Gledura, Benjamin",2767,2612,2018.02.07,,1-0,B13,5
2487,"Anand, Viswanathan","Kasparov, Garry",2770,2825,1998.03.04,,1/2-1/2,B90,10
2488,"Anand, Viswanathan","Giri, Anish",2786,2771,2017.06.05,tourn (blitz),1/2-1/2,B51,1
2489,"Caruana, Fabiano","Anand, Viswanathan",2822,2758,2020.01.19,,1-0,D38,8.6
2490,"Anand, Viswanathan","Grischuk, Alexander",2730,2733,2019.08.03,blitz,1-0,,4.4
2491,"Karpov, Anatoly","Anand, Viswanathan",2682,2782,2004.08.21,tourn (rapid),1/2-1/2,E34,3
2492,"Anand, Viswanathan","Karjakin, Sergey",2783,2767,2013.05.14,tourn,1/2-1/2,C65,6
2493,"Shirov, Alexei","Anand, Viswanathan",2751,2769,2000.03.08,tourn,1/2-1/2,C42,8
2494,"Kramnik, Vladimir","Anand, Viswanathan",2803,2786,2013.06.12,tourn (blitz),1/2-1/2,A09,4
2495,"Piket, Jeroen","Anand, Viswanathan",,,1994.??.??,,0-1,D43,9
2496,"Anand, Viswanathan","Polgar, Susan",2635,2510,1991.??.??,,1-0,B33,2
2497,"Anand, Viswanathan","Abdusattorov, Nodirbek",2767,2516,2018.02.14,,1-0,C92,6
2498,"Anand, Viswanathan","Carlsen, Magnus",2788,2801,2009.11.18,,0-1,D31,38
2499,"Anand, Viswanathan","Vachier Lagrave, Maxime",2775,2783,2017.06.30,tourn (blitz),0-1,B90,7
2500,"Shirov, Alexei","Anand, Viswanathan",2725,2782,2004.08.08,match (rapid),1/2-1/2,C25,8
2501,"Anand, Viswanathan","Macieja, Bartlomiej",2762,2536,2000.12.07,k.o.,1-0,B17,4.2
2502,"Gagunashvili, Merab","Anand, Viswanathan",2591,2779,2006.09.07,blitz,0-1,E34,14
2503,"Anand, Viswanathan","Ding, Liren",2733,2760,2019.05.25,,1/2-1/2,,2.1
2504,"Anand, Viswanathan","Yudin, Sergei",2773,2507,2018.12.30,swiss (blitz),1-0,B07,18
2505,"Anand, Viswanathan","Short, Nigel D",2782,2678,2017.12.29,blitz,1/2-1/2,C11,4.16
2506,"Vachier Lagrave, Maxime","Anand, Viswanathan",2860,2751,2020.05.08,,1/2-1/2,,8.1
2507,"Milov, Vadim","Anand, Viswanathan",2635,2765,1997.07.22,,1/2-1/2,E41,2
2508,"Socko, Bartosz","Anand, Viswanathan",,,2015.10.12,rapid,0-1,C65,12
2509,"Anand, Viswanathan","Shirov, Alexei",2765,2750,2000.??.??,,0-1,C42,3
2510,"Anand, Viswanathan","Oparin, Grigoriy",2786,2604,2017.04.15,swiss,1-0,C95,4
2511,"Svidler, Peter","Anand, Viswanathan",,,2007.??.??,simul,1/2-1/2,C42,9
2512,"Jussupow, Artur","Anand, Viswanathan",2665,2715,1994.??.??,,1/2-1/2,D85,6
2513,"Anand, Viswanathan","World, Rest Of The",2780,,2012.08.13,match,1/2-1/2,D46,1
2514,"Anand, Viswanathan","Gariginovich Lputian, Smbat",2769,2605,2000.01.30,,1-0,C18,13
2515,"Anand, Viswanathan","Nakamura, Hikaru",2773,2746,2018.11.13,tourn (blitz),1/2-1/2,C67,7
2516,"Anand, Viswanathan","Topalov, Veselin",2770,2740,1998.??.??,,1-0,B90,13
2517,"Piket, Jeroen","Anand, Viswanathan",,,1993.??.??,,1/2-1/2,D19,3
2518,"Anand, Viswanathan","Greenfeld, Alon",2769,2563,2000.02.05,schev (rapid),1/2-1/2,C83,12
2519,"Uhlmann, Wolfgang","Anand, Viswanathan",2505,2610,1990.??.??,,1-0,A50,4
2520,"Anand, Viswanathan","Kazhgaleyev, Murtas",2801,2599,2007.10.07,team-swiss,1/2-1/2,C76,5.1
2521,"Vachier Lagrave, Maxime","Anand, Viswanathan",2819,2770,2016.08.06,tourn,0-1,B11,2
2522,"Zaitshik, Gennadi","Anand, Viswanathan",,,1987.??.??,,1/2-1/2,,?
2523,"Anand, Viswanathan","Caruana, Fabiano",2786,2774,2013.06.13,tourn,0-1,C88,1
2524,"Lautier, Joel","Anand, Viswanathan",,,1995.??.??,,0-1,D46,1
2525,"Anand, Viswanathan","Vallejo Pons, Francisco",2780,2697,2012.09.24,tourn,1/2-1/2,D38,1
2526,"Karpov, Anatoly","Anand, Viswanathan",2725,2670,1992.??.??,,1/2-1/2,D20,3
2527,"Anand, Viswanathan","Khalifman, Alexander",2781,2669,2004.11.27,tourn (rapid),1-0,C10,5
2528,"Aronian, Levon","Anand, Viswanathan",,,2017.08.05,team,1/2-1/2,A34,4
2529,"Anand, Viswanathan","Shirov, Alexei",2710,2670,1993.??.??,,1/2-1/2,B66,6
2530,"Anand, Viswanathan","Kramnik, Vladimir",2770,2812,2016.06.20,tourn (blitz),1/2-1/2,C54,16
2531,"Cheparinov, Ivan","Anand, Viswanathan",2709,2773,2018.12.29,swiss (blitz),1/2-1/2,D41,4
2532,"Shirov, Alexei","Anand, Viswanathan",,,1998.??.??,,1-0,B65,5
2533,"Leko, Peter","Anand, Viswanathan",2739,2770,2001.10.30,,1/2-1/2,B19,2.2
2534,"Polgar, Judit","Anand, Viswanathan",2711,2798,2008.08.02,tourn (rapid),1/2-1/2,B92,5
2535,"Leko, Peter","Anand, Viswanathan",2751,2783,2009.06.07,rapid,1/2-1/2,B12,8
2536,"Anand, Viswanathan","Topalov, Veselin",2753,2743,2003.03.27,rapid,1-0,B33,11
2537,"Mamedyarov, Shakhriyar","Anand, Viswanathan",2725,2783,2009.05.08,swiss,1/2-1/2,D27,5
2538,"Anand, Viswanathan","Van Wely, Loek",2770,2605,1998.01.17,,1-0,E17,2
2539,"Piket, Jeroen","Anand, Viswanathan",2609,2784,1999.01.18,,1/2-1/2,D20,8
2540,"Atabayev, Yusup","Anand, Viswanathan",2473,2779,2016.12.27,rapid,0-1,A45,6.9
2541,"Topalov, Veselin","Anand, Viswanathan",2788,2788,2005.09.29,tourn,1/2-1/2,E15,2
