,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
211,"Jobava, Baadur","Grischuk, Alexander",2696,2736,2009.11.29,k.o.,1-0,C54
212,"Ivanchuk, Vassily","Grischuk, Alexander",2711,2702,2002.06.05,k.o. (rapid),1-0,D34
213,"Lautier, Joel","Grischuk, Alexander",2687,2671,2002.01.27,tourn,1/2-1/2,D34
214,"Leko, Peter","Grischuk, Alexander",2730,2783,2013.12.14,tourn (blitz),0-1,B44
215,"Bolsunovsky, Konstantin","Grischuk, Alexander Igorevich",,,2006.05.05,team,0-1,B23
216,"Onischuk, Alexander","Grischuk, Alexander",2650,2726,2007.07.24,,1-0,D17
217,"Tomashevsky, Evgeny","Grischuk, Alexander",2738,2761,2012.06.18,swiss,1/2-1/2,
218,"Nakamura, Hikaru","Grischuk, Alexander",2774,2747,2011.03.20,tourn (rapid),1-0,E90
219,"Grischuk, Alexander","Korchenov, Viktor",2665,2615,2001.??.??,team,0-1,C02
220,"Grischuk, Alexander","Vachier Lagrave, Maxime",2766,2779,2018.08.21,,1/2-1/2,B96
221,"Grischuk, Alexander","Khismatullin, Denis Rimovich",2736,2643,2009.12.22,tourn,1/2-1/2,D37
222,"Wang, Jue","Grischuk, Alexander",2749,2756,2010.04.05,,1/2-1/2,E06
223,"Dreev, Aleksey","Grischuk, Alexander",2653,2772,2017.12.29,swiss (blitz),1/2-1/2,D31
224,"Ponomariov, Ruslan","Grischuk, Alexander",2731,2783,2013.12.14,tourn (blitz),0-1,B12
225,"Grischuk, Alexander","Grachev, Boris",2710,2581,2006.12.25,match (blitz),1-0,B80
226,"Grischuk, Alexander","Svidler, Peter",2795,2743,2014.11.13,tourn (blitz),1-0,A42
227,"Grischuk, Alexander","Vachier Lagrave, Maxime",2771,2731,2015.08.31,tourn,1/2-1/2,E60
228,"Grischuk, Alexander","Kamsky, Gata",2764,2740,2013.02.17,k.o. (rapid),1-0,D10
229,"Grischuk, Alexander","Vocaturo, Daniele",2760,2581,2010.09.23,team-swiss,1-0,A64
230,"Grischuk, Alexander","Galkin, Alexander",2746,2598,2011.08.14,tourn,1-0,B12
231,"Grischuk, Alexander","Adhiban, Baskaran",2774,2674,2015.10.10,swiss (rapid),1-0,A45
232,"Lautier, Joel","Grischuk, Alexander",2682,2719,2006.05.30,team-swiss,1/2-1/2,E15
233,"Grischuk, Alexander","Levonovich Petrosian, Tigran",2774,2625,2015.10.13,blitz,0-1,B06
234,"Grischuk, Alexander","Duda, Jan Krzysztof",2766,2737,2018.09.18,,0-1,B54
235,"Carlsen, Magnus","Grischuk, Alexander",2832,2750,2017.11.21,k.o. (blitz),1/2-1/2,D32
236,"Grischuk, Alexander","Rapport, Richard",2750,2693,2015.11.22,,1/2-1/2,B48
237,"Grischuk, Alexander","Nepomniachtchi, Ian",2766,2757,2018.08.07,,1-0,D08
238,"Grischuk, Alexander","Aronian, Levon",2766,2767,2018.08.15,tourn (rapid),1-0,A11
239,"Grischuk, Alexander","Aronian, Levon",2777,2773,2020.09.24,,1/2-1/2,A07
240,"Na, Na","Grischuk, Alexander",1879,2722,2004.04.14,,0-1,
241,"Grischuk, Alexander","Tischendorf, Michael",2732,2213,2003.08.16,,1-0,C18
242,"Artemiev, Vladislav","Grischuk, Alexander",2798,2725,2017.12.30,blitz,*,
243,"Aronian, Levon","Grischuk, Alexander",2778,2784,2020.06.09,,1/2-1/2,
244,"Rublevsky, Sergei","Grischuk, Alexander",2676,2715,2007.??.??,simul,1/2-1/2,C45
245,"Dubov, Daniil","Grischuk, Alexander",2594,2763,2012.08.04,,1/2-1/2,E46
246,"Grischuk, Alexander","Svidler, Peter",2715,2732,2007.12.30,,1/2-1/2,A16
247,"Grischuk, Alexander","So, Wesley",2766,2780,2018.08.26,tourn,1/2-1/2,A02
248,"Deac, Bogdan Daniel","Grischuk, Alexander",2679,2764,2022.01.04,,1-0,C11
249,"Grischuk, Alexander","Firouzja, Alireza",2777,2728,2020.05.16,,0-1,D38
250,"Grischuk, Alexander","Iliushkin, Alexey",2732,2553,2003.??.??,,1-0,C11
251,"Alinasab, Mobina","Grischuk, Alexander",2317,2777,2020.09.01,swiss (blitz),0-1,B81
252,"Karjakin, Sergey","Grischuk, Alexander",2763,2767,2018.03.02,tourn (rapid),1/2-1/2,C42
253,"Caruana, Fabiano","Grischuk, Alexander",2799,2782,2017.11.12,match (blitz),1/2-1/2,B31
254,"Grischuk, Alexander","Morozevich, Alexander",2761,2769,2012.06.10,,0-1,
255,"Ivanchuk, Vassily","Grischuk, Alexander",2746,2748,2009.04.27,tourn,1-0,E97
256,"Grischuk, Alexander","Carlsen, Magnus",2754,2857,2016.08.23,match (blitz),0-1,A28
257,"Carlsen, Magnus","Grischuk, Alexander",2832,2750,2017.11.21,k.o. (blitz),1-0,E60
258,"Radjabov, Teimour","Grischuk, Alexander",2713,2783,2013.12.14,tourn (blitz),1/2-1/2,A37
259,"Karjakin, Sergey","Grischuk, Alexander",2763,2767,2018.03.12,tourn,1/2-1/2,C50
260,"Grischuk, Alexander","Filippov, Valerij",2719,2639,2004.06.24,k.o.,1-0,D29
261,"Grischuk, Alexander","Andreikin, Dmitry",2810,2737,2015.02.16,k.o.,1/2-1/2,D35
262,"Grischuk, Alexander","Karjakin, Sergey",2783,2756,2013.12.13,swiss (rapid),1-0,E12
263,"Grischuk, Alexander","Wang, Hao",2772,2709,2017.12.13,tourn (blitz),1-0,C65
264,"Gasimov, Ilgar","Grischuk, Alexander",2717,2728,2008.08.03,tourn,1/2-1/2,B80
265,"Nepomniachtchi, Ian","Grischuk, Alexander",2815,2733,2019.08.03,blitz,0-1,
266,"Michael Sprenger, Jan","Grischuk, Alexander",2535,2726,2007.08.19,,0-1,B07
267,"Vachier Lagrave, Maxime","Grischuk, Alexander",2703,2771,2010.11.16,tourn (blitz),1/2-1/2,C69
268,"Grischuk, Alexander","Carlsen, Magnus",,,????.??.??,,0-1,
269,"Grischuk, Alexander","Gurevich, Tom",2701,2635,2003.04.05,,1-0,C02
270,"Socko, Bartosz","Grischuk, Alexander",2642,2764,2021.12.29,blitz,1-0,E06
