,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
207,"Aronian, Levon","Nakamura, Hikaru",2797,2767,2014.11.25,blitz,1-0,A06
208,"Aronian, Levon","Topalov, Veselin",2763,2767,2008.05.08,tourn,0-1,A32
209,"Aronian, Levon","Gelfand, Boris",2801,2741,2010.11.17,,1/2-1/2,D11
210,"Aronian, Levon","Vachier Lagrave, Maxime",2758,2774,2019.09.25,,1/2-1/2,A04
211,"Karjakin, Sergey","Aronian, Levon",2762,2784,2015.10.14,blitz,0-1,C47
212,"Caruana, Fabiano","Aronian, Levon",2781,2785,2022.03.06,rapid,0-1,C67
213,"Aronian, Levon","Abdusattorov, Nodirbek",2782,2634,2021.07.10,,1/2-1/2,
214,"Carlsen, Magnus","Aronian, Levon",2862,2781,2021.02.06,rapid,1-0,D38
215,"Korobov, Anton","Aronian, Levon",2670,2772,2019.11.10,blitz,0-1,E39
216,"Carlsen, Magnus","Aronian, Levon",2850,2784,2015.10.13,blitz,1/2-1/2,A48
217,"Vachier Lagrave, Maxime","Aronian, Levon",2822,2739,2020.12.02,,1/2-1/2,
218,"Adhiban, Baskaran","Aronian, Levon",2668,2780,2018.10.25,swiss,1/2-1/2,C49
219,"Aronian, Levon","Grischuk, Alexander",2803,2783,2013.12.12,swiss (rapid),1/2-1/2,D85
220,"Aronian, Levon","Naiditsch, Arkadij",2794,2701,2018.04.01,tourn,1-0,E70
221,"Caruana, Fabiano","Aronian, Levon",2816,2764,2018.06.14,blitz,0-1,C65
222,"Aronian, Levon","Carlsen, Magnus",2792,2855,2016.06.12,tourn (blitz),1-0,A33
223,"Wang, Hao","Aronian, Levon",2727,2801,2010.11.06,,1/2-1/2,E06
224,"Lautier, Joel","Aronian, Levon",2682,2675,2004.12.19,,1/2-1/2,E54
225,"Nakamura, Hikaru","Aronian, Levon",2814,2765,2015.08.30,tourn,0-1,C88
226,"Kern, Paul","Aronian, Levon",,,1951.11.15,,1-0,B62
227,"Aronian, Levon","Kramnik, Vladimir",2759,2772,2007.05.06,,1/2-1/2,D12
228,"Aronian, Levon","Le, Quang Liem",2782,2709,2021.08.06,,1/2-1/2,
229,"Grischuk, Alexander","Aronian, Levon",2756,2782,2010.03.24,tourn (rapid),1/2-1/2,E04
230,"Carlsen, Magnus","Aronian, Levon",2832,2793,2017.06.05,tourn (blitz),1-0,E17
231,"So, Wesley","Aronian, Levon",2776,2765,2022.05.14,,1-0,D20
232,"Aronian, Levon","Ivanchuk, Vassily",2797,2704,2014.12.13,tourn (blitz),1-0,A81
233,"Aronian, Levon","Ivanov, Viktor Olegovich",2330,2445,1995.??.??,,1/2-1/2,A07
234,"Vachier Lagrave, Maxime","Aronian, Levon",2822,2739,2020.12.02,,1/2-1/2,
235,"Giri, Anish","Aronian, Levon",2782,2767,2018.09.20,,1/2-1/2,C67
236,"Aronian, Levon","Mcshane, Luke James",,,2003.11.22,,1/2-1/2,E62
