,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
166,"Garcia Jimenez, Kevin","Topalov, Veselin",2297,2777,2008.08.02,rapid,0-1,B10
167,"Radjabov, Teimour","Topalov, Veselin",2756,2740,2019.04.07,tourn,1/2-1/2,C45
168,"Topalov, Veselin","Moroder, Mainhard",2725,,1997.??.??,,1-0,D33
169,"Topalov, Veselin","Sokolov, Ivan",2801,2689,2006.01.21,tourn,1-0,C78
170,"Topalov, Veselin","Dardha, Daniel",2730,2527,2021.10.30,,1/2-1/2,B30
171,"Morozevich, Alexander","Topalov, Veselin",2745,2718,2001.01.26,tourn,1/2-1/2,B36
172,"Stohl, Igor","Topalov, Veselin",2560,2520,1992.??.??,,0-1,A87
173,"Topalov, Veselin","Adams, Michael",2813,2682,2009.10.24,team-swiss,1-0,C95
174,"Laznicka, Viktor","Topalov, Veselin",2677,2769,2013.09.20,match,1-0,A29
175,"Morozevich, Alexander","Topalov, Veselin",2678,2743,2003.03.26,rapid,0-1,B12
176,"Topalov, Veselin","Reinderman, Dimitri",2700,2542,1999.01.18,,1-0,A81
177,"Topalov, Veselin","Ponomariov, Ruslan",2771,2733,2013.04.25,,1/2-1/2,E52
178,"Topalov, Veselin","Stefansson, Hannes",2800,2573,2015.01.30,swiss,1-0,C65
179,"Bareev, Evgeny","Topalov, Veselin",2726,2745,2002.07.13,match,0-1,A67
180,"Svidler, Peter","Topalov, Veselin",2727,2791,2008.12.20,tourn,0-1,B12
181,"Timman, Jan H","Topalov, Veselin",,,1998.??.??,blitz,0-1,C02
182,"Borisovich Tukmakov, Vladimir","Topalov, Veselin",,,1995.??.??,,0-1,D74
183,"Topalov, Veselin","Vyzmanavin, Alexey",2645,2610,1994.??.??,,1-0,E17
184,"Topalov, Veselin","Kramnik, Vladimir",2772,2783,2014.06.02,tourn (blitz),1/2-1/2,A00
185,"Topalov, Veselin","Wojtaszek, Radoslaw",2813,2734,2015.10.23,team-swiss,1-0,B90
186,"Topalov, Veselin","Morovic Fernandez, Ivan",2460,2565,1992.??.??,,1-0,B80
187,"Topalov, Veselin","Karpov, Anatoly",,,1995.??.??,rapid,0-1,B17
188,"Topalov, Veselin","Kasparov, Garry",2750,2785,1996.??.??,,0-1,E11
189,"Korobov, Anton","Topalov, Veselin",2715,2784,2013.06.06,rapid,0-1,E59
190,"Nakamura, Hikaru","Topalov, Veselin",,,2015.??.??,swiss,1-0,B51
191,"Aronian, Levon","Topalov, Veselin",2792,2761,2016.06.10,tourn (rapid),1-0,A09
192,"Kramnik, Vladimir","Topalov, Veselin",2740,2725,1997.??.??,tourn (rapid),1/2-1/2,E65
193,"Topalov, Veselin","Timman, Jan H",2700,2655,1998.10.11,,0-1,B17
194,"Moreno Carnero, Javier","Topalov, Veselin",2500,2778,2005.06.04,,1/2-1/2,C67
195,"Campos Moreno, Javier B","Topalov, Veselin",2505,2460,1992.??.??,swiss,0-1,A57
