,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
136,"Vachier Lagrave, Maxime","Hrzica, Rok",2271,2027,2001.10.24,,1-0,C00,4
137,"Vachier Lagrave, Maxime","Polzin, Rainer",2716,2500,2008.12.14,team-tourn,1/2-1/2,B74,9.1
138,"Vachier Lagrave, Maxime","Salgado Lopez, Ivan",2680,2623,2012.06.05,team-tourn,1/2-1/2,D80,6.1
139,"Vachier Lagrave, Maxime","Gelfand, Boris",2703,2755,2009.07.29,,1/2-1/2,C42,9
140,"Duda, Jan Krzysztof","Vachier Lagrave, Maxime",2743,2784,2021.02.07,rapid,1/2-1/2,D97,7.4
141,"Vachier Lagrave, Maxime","Vidit, Santosh Gujrathi",2804,2689,2016.12.27,swiss (rapid),0-1,B12,10
142,"Vachier Lagrave, Maxime","Fressinet, Laurent",2682,2693,2012.04.29,k.o. (rapid),1/2-1/2,B06,3.4
143,"Vachier Lagrave, Maxime","Karjakin, Sergey",2745,2756,2013.12.14,tourn (blitz),0-1,C88,10
144,"Vachier Lagrave, Maxime","Glicenstein, Asher",2271,2196,2001.11.??,team,1-0,B31,1.2
145,"Naiditsch, Arkadij","Vachier Lagrave, Maxime",2712,2710,2011.11.22,team-tourn,0-1,B96,2
146,"Vachier Lagrave, Maxime","Ding, Liren",2860,2836,2020.06.21,,1/2-1/2,,4.1
147,"Vachier Lagrave, Maxime","Nakamura, Hikaru",2789,2781,2017.12.03,tourn,1/2-1/2,B78,2
148,"Vachier Lagrave, Maxime","Meier, Georg",2705,2646,2012.10.21,,1/2-1/2,A16,10
149,"Vachier Lagrave, Maxime","Nakamura, Hikaru",2779,2777,2018.10.11,,0-1,C54,2.12
150,"Vachier Lagrave, Maxime","Anand, Viswanathan",2775,2764,2019.08.01,blitz,1/2-1/2,,25.3
151,"Vachier Lagrave, Maxime","Tomashevsky, Evgeny",2744,2758,2015.09.19,k.o.,1/2-1/2,E11,3.4
152,"Vachier Lagrave, Maxime","Onkoud, Abdelaziz",2302,2317,2002.04.23,tourn,1/2-1/2,B70,4
153,"Vachier Lagrave, Maxime","Viswanathan, Abinav",2775,2764,2019.08.21,,1/2-1/2,C54,5
154,"Kramnik, Vladimir","Vachier Lagrave, Maxime",2792,2789,2018.06.22,tourn (rapid),1/2-1/2,A48,8
155,"Zalman, Jonathan","Vachier Lagrave, Maxime",2536,2696,2009.02.05,swiss,1/2-1/2,A81,10.7
156,"Vachier Lagrave, Maxime","Martirosyan, Haik M",2778,2617,2020.07.21,,1-0,A20,2.2
