,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
186,"Ding, Liren","Duda, Jan Krzysztof",2778,2724,2018.04.07,,1/2-1/2,D78,?
187,"Bartel, Mateusz","Duda, Jan Krzysztof",2629,2684,2017.01.08,rapid,0-1,B47,7.2
188,"Duda, Jan Krzysztof","Fressinet, Laurent",2717,2662,2017.12.15,blitz,1/2-1/2,C53,13.1
189,"Nakamura, Hikaru","Duda, Jan Krzysztof",2749,2731,2019.02.23,,1/2-1/2,D30,2.2
190,"Pashikian, Arman","Duda, Jan Krzysztof",2603,2506,2013.05.08,,1/2-1/2,E15,4.50
191,"Duda, Jan Krzysztof","Miton, Kamil",2380,2623,2012.02.19,tourn,1/2-1/2,C76,2
192,"Indjic, Aleksandar","Duda, Jan Krzysztof",2620,2738,2018.12.30,blitz,0-1,A50,20.2
193,"Markos, Jan","Duda, Jan Krzysztof",2599,2587,2014.05.31,team,1-0,A00,9.1
194,"Grischuk, Alexander","Duda, Jan Krzysztof",2777,2757,2020.10.25,schev,1-0,B90,3.10
195,"Miton, Kamil","Duda, Jan Krzysztof",2612,2660,2016.01.09,,1/2-1/2,C69,8.2
196,"Duda, Jan Krzysztof","Ipatov, Alexander",2506,2588,2013.05.11,,0-1,C41,7.57
197,"Gajek, Radoslaw","Duda, Jan Krzysztof",2303,2497,2013.04.??,,0-1,C54,7
198,"Weichhold, Pawel","Duda, Jan Krzysztof",2394,2563,2014.04.02,,1-0,B90,9
199,"Sowul, Bartosz","Duda, Jan Krzysztof",2191,2421,2012.07.??,team-tourn,0-1,B90,2
200,"Duda, Jan Krzysztof","Grischuk, Alexander",2737,2766,2018.09.18,,1-0,A45,2.6
201,"Duda, Jan Krzysztof","Ociepka, Dominika",,,2005.06.17,swiss,1-0,C57,2
202,"Duda, Jan Krzysztof","Eliseev, Gleb",,,2005.06.19,swiss,1-0,C45,7
203,"Van Foreest, Jorden","Duda, Jan Krzysztof",2644,2758,2020.01.22,,1/2-1/2,,10.4
204,"Duda, Jan Krzysztof","Lorparizangeneh, Shahin",2013,,2008.10.28,swiss,1-0,B19,9
205,"Duda, Jan Krzysztof","Rudnicki, Milosz",1939,2197,2008.08.25,swiss,0-1,B76,7
206,"Dubov, Daniil","Duda, Jan Krzysztof",2676,2748,2019.11.12,,1/2-1/2,D11,3.2
207,"Yu, Yangyi","Duda, Jan Krzysztof",2753,2748,2019.11.08,,1/2-1/2,C42,2.1
208,"Kosteniuk, Alexandra","Duda, Jan Krzysztof",2516,2760,2022.02.19,,1-0,,1
209,"Ortiz Suarez, Isan Reynaldo","Duda, Jan Krzysztof",2572,2610,2015.06.19,,1/2-1/2,B94,5.4
210,"Movsesian, Sergei","Duda, Jan Krzysztof",2666,2671,2016.07.10,match (rapid),1-0,B53,1
211,"Duda, Jan Krzysztof","Ragger, Markus",2755,2670,2020.02.16,,1/2-1/2,C68,5.4
212,"Duda, Jan Krzysztof","Van Foreest, Jorden",2729,2701,2021.06.18,,1-0,C80,5.3
213,"Duda, Jan Krzysztof","Gledura, Benjamin",2724,2612,2018.01.26,,1/2-1/2,C92,?
214,"Moussard, Jules","Duda, Jan Krzysztof",2608,2730,2019.10.27,blitz,1/2-1/2,,39.25
215,"Kasparov, Garry","Duda, Jan Krzysztof",2812,2738,2021.07.11,,0-1,,21.5
216,"Piorun, Kacper","Duda, Jan Krzysztof",2655,2652,2016.04.06,,1-0,B94,8.3
217,"Duda, Jan Krzysztof","Hovhannisyan, Robert",2671,2640,2016.07.23,,1-0,C45,6
218,"Navara, David","Duda, Jan Krzysztof",2717,2734,2019.10.25,,1/2-1/2,B30,2.1
219,"Caruana, Fabiano","Duda, Jan Krzysztof",2819,2729,2019.07.31,blitz,1-0,B01,6
220,"Duda, Jan Krzysztof","Navara, David",2720,2700,2022.03.19,,0-1,,2
221,"Miroshnichenko, Evgenij","Duda, Jan Krzysztof",2597,2729,2021.07.06,blitz,0-1,,2.1
222,"Duda, Jan Krzysztof","Vachier Lagrave, Maxime",2729,2775,2019.08.01,blitz,1-0,A30,17
223,"Hovhannisyan, Robert","Duda, Jan Krzysztof",2611,2632,2015.07.13,tourn,0-1,A31,2
224,"Duda, Jan Krzysztof","Movsesian, Sergei",2599,2659,2015.01.10,team-tourn,0-1,B85,5.1
225,"Santosh Gujrathi, Vidit","Duda, Jan Krzysztof",,,2016.07.26,,1/2-1/2,D31,9.1
226,"Dubov, Daniil","Duda, Jan Krzysztof",2700,2729,2019.07.29,blitz,1/2-1/2,D11,7.3
227,"Duda, Jan Krzysztof","Jones, Gawain C B",2720,2672,2022.03.20,,0-1,,8
228,"Kuzubov, Yuriy","Duda, Jan Krzysztof",2652,2707,2017.08.19,team-tourn,1-0,E12,6.1
229,"Moussard, Jules","Duda, Jan Krzysztof",2608,2730,2019.10.27,blitz,0-1,,37.25
230,"Duda, Jan-Krzysztof","Gabuzyan, Hovhannes",2801,2535,2021.12.26,rapid,0-1,,1
231,"Duda, Jan Krzysztof","Zhigalko, Sergei",2717,2641,2017.12.30,blitz,0-1,A06,20.28
232,"Duda, Jan Krzysztof","Terochin, Piotr",1834,,2007.03.11,,1-0,,11.1
233,"Gledura, Benjamin","Duda, Jan Krzysztof",2515,2660,2016.01.30,swiss,1/2-1/2,E08,5
234,"Duda, Jan Krzysztof","Bartel, Mateusz",2724,2604,2018.05.20,tourn,1/2-1/2,A09,9
235,"Duda, Jan Krzysztof","Eljanov, Pavel",2678,2741,2017.10.21,team-tourn,1-0,C54,1.1
236,"Duda, Jan Krzysztof","Miroshnichenko, Evgenij",2729,2597,2021.07.06,blitz,1-0,,3.1
237,"Khamidov, Komil","Duda, Jan Krzysztof",2055,2368,2011.09.12,swiss,0-1,B90,2
238,"Duda, Jan Krzysztof","Antipov, Mikhail Al",2645,2538,2015.09.11,swiss,1/2-1/2,B92,9
