,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
176,"Dembo, Yelena","Andreikin, Dmitry",2397,2342,2003.03.06,tourn,1/2-1/2,C42,6
177,"Wojtaszek, Radoslaw","Andreikin, Dmitry",2750,2736,2017.01.28,tourn,1/2-1/2,D15,12
178,"Andreikin, Dmitry","Shimanov, Aleksandr",2726,2593,2020.11.03,swiss,1-0,B10,5
179,"Andreikin, Dmitry","Popov, Ivan",,2283,1999.??.??,,1/2-1/2,C68,9
180,"Andreikin, Dmitry","Svidler, Peter",2715,2749,2012.08.07,,1/2-1/2,E60,5
181,"Andreikin, Dmitry","Shin, Robert",2737,,2016.12.15,swiss (rapid),1-0,B51,1
182,"Jakovenko, Dmitry","Andreikin, Dmitry",2589,2787,2017.10.02,team-swiss,0-1,B41,15.7
183,"Andreikin, Dmitry","Mamedyarov, Shakhriyar",2713,2753,2013.06.09,,0-1,C47,11.10
184,"Klimov, Sergey","Andreikin, Dmitry",2438,2217,2001.06.14,,1-0,C42,6
185,"Andreikin, Dmitry","Potapov, Pavel",2723,2477,2015.05.06,,1-0,A04,6
186,"Matinian, Nikita","Andreikin, Dmitry",2470,2726,2020.10.13,,1-0,B23,8
187,"Andreikin, Dmitry:muzychuk","Yang, Wen:yifan",,,2019.03.30,tourn (rapid),1/2-1/2,C67,3
188,"Esipenko, Andrey","Andreikin, Dmitry",2571,2712,2018.02.20,,1/2-1/2,D41,1
189,"Andreikin, Dmitry","Mozharov, Mikhail",2720,2573,2015.09.06,,1-0,A00,2
190,"Ivic, Velimir","Andreikin, Dmitry",2581,2724,2021.07.24,,1-0,,31.14
191,"Andreikin, Dmitry","Perman, Evgeniy",2400,2081,2003.08.07,,1-0,B90,5
192,"Andreikin, Dmitry","Jobava, Baadur",2724,2588,2021.12.14,,1/2-1/2,C10,11
193,"Demidov, V.","Andreikin, Dmitry",2551,2728,2021.09.25,,0-1,D02,1.2
194,"Sjugirov, Sanan","Andreikin, Dmitry",2680,2724,2022.02.08,,1/2-1/2,C67,5
195,"Andreikin, Dmitry","Glavinac, Goran",2712,2136,2017.07.28,team,1-0,D64,5.1
196,"Andreikin, Dmitry","Wagner, Dennis",2725,2581,2021.02.16,,1-0,D38,6
197,"Andreikin, Dmitry","Rasulov, Vugar Ural Oglu",2725,2478,2021.05.25,,1-0,B54,5
198,"Sarana, Alexey","Andreikin, Dmitry",2649,2725,2021.04.03,,1-0,A00,?
199,"Andreikin, Dmitry","Leko, Peter",2759,2702,2019.05.14,rapid,1/2-1/2,,1.3
200,"Andreikin, Dmitry","Nepomniachtchi, Ian",2625,2624,2009.05.09,tourn,1-0,A29,10
201,"Andreikin, Dmitry","Artemiev, Vladislav",2725,2709,2021.03.06,,0-1,A50,?
202,"Nihal, Sarin","Andreikin, Dmitry",2620,2724,2021.07.18,,0-1,A01,3.1
203,"Vastrukhin, Oleg","Andreikin, Dmitry",2401,2725,2021.01.02,blitz,1/2-1/2,A07,?
204,"Andreikin, Dmitry","Kazhgaleyev, Murtas",2696,2597,2011.08.29,,1-0,A16,1.2
205,"Nisipeanu, Liviu Dieter","Andreikin, Dmitry",2683,2712,2017.07.22,,1/2-1/2,B06,6.2
206,"Andreikin, Dmitry","Calugar, Arthur",2726,2263,2020.06.30,,1-0,B23,3
207,"Andreikin, Dmitry","Wagner, Dennis",2705,2564,2017.10.11,team-swiss,1-0,D02,4.3
208,"Potapova, Margarita","Andreikin, Dmitry",2277,2725,2021.04.03,,0-1,E38,?
209,"Firouzja, Alireza","Andreikin, Dmitry",2759,2725,2021.03.09,,1-0,B23,7
