,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
590,"Firouzja, Alireza","Kostenko, Petr",2079,2458,2015.07.16,,1/2-1/2,C11
591,"Firouzja, Alireza","Javanbakht, Nima",2079,2408,2017.09.13,,1/2-1/2,B33
592,"Firouzja, Alireza","Duda, Jan Krzysztof",2728,2757,2020.10.16,,1-0,D78
593,"Firouzja, Alireza","Wang, Hao",2412,2782,2018.12.28,blitz,1/2-1/2,C76
594,"Kamsky, Gata","Firouzja, Alireza",2677,2549,2018.02.23,,1-0,D02
595,"Xiong, Jeffery","Firouzja, Alireza",2709,2759,2021.04.06,,0-1,A47
596,"Lagunow, Raphael","Firouzja, Alireza",2411,2561,2018.09.14,,0-1,B50
597,"Firouzja, Alireza","Kathmale, Sameer",2079,2323,2018.08.08,,1-0,D17
598,"Bortnyk, Mykola","Firouzja, Alireza",2473,2749,2020.12.19,,0-1,B06
599,"Firouzja, Alireza","Sindarov, Javokhir",2618,2505,2019.02.20,,1-0,C02
600,"Lagarde, Maxime","Firouzja, Alireza",2655,2728,2020.06.14,blitz,1/2-1/2,C29
601,"Firouzja, Alireza","Carlsen, Magnus",2749,2862,2021.02.27,,1/2-1/2,E70
602,"Gholami Orimi, Mahdi","Firouzja, Alireza",2375,2618,2019.02.03,tourn,0-1,A46
603,"Sargissian, Gabriel","Firouzja, Alireza",2667,2079,2017.01.27,,1-0,E69
604,"Giri, Anish","Firouzja, Alireza",2764,2749,2021.01.30,,1/2-1/2,C11
605,"Maghsoodloo, Parham","Firouzja, Alireza",2510,2485,2016.07.04,,1-0,
606,"Firouzja, Alireza","Bortnyk, Olexandr",2749,2598,2020.12.24,blitz,1-0,C41
607,"Fressinet, Laurent","Firouzja, Alireza",2633,2702,2019.11.27,blitz,1-0,
608,"Cori, Jorge","Firouzja, Alireza",2652,2728,2020.03.13,,1-0,D02
609,"Firouzja, Alireza","Le, Quang Liem",2561,2727,2018.08.11,swiss,1/2-1/2,B47
610,"Lobron, Eric","Firouzja, Alireza",2508,2669,2019.04.22,,0-1,D30
611,"Firouzja, Alireza","Ding, Liren",2703,2836,2020.11.24,tourn,1-0,
612,"Firouzja, Alireza","Sindarov, Javokhir",2759,2558,2021.07.15,,1/2-1/2,
613,"Bluebaum, Matthias","Firouzja, Alireza",2643,2702,2020.03.25,blitz,0-1,D35
614,"Firouzja, Alireza","Leve, Nitai",2728,2128,2020.05.26,,1-0,C11
615,"Firouzja, Alireza",Narayanan.S.L,2728,2618,2020.01.25,blitz,1-0,
616,"Firouzja, Alireza","Sargsyan, Shant",2618,2488,2019.02.25,swiss,1-0,B12
617,"Sindarov, Javokhir","Firouzja, Alireza",2505,2657,2019.03.25,,0-1,
618,"Firouzja, Alireza","Amonatov, Farrukh",2456,2620,2016.12.29,swiss (blitz),0-1,E73
619,"Firouzja, Alireza","Shchekachev, Andrei",2682,2531,2019.06.01,blitz,1-0,E11
