,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
163,"Vachier Lagrave, Maxime","Nakamura, Hikaru",2796,2785,2017.06.24,tourn (rapid),1/2-1/2,C67,1
164,"Nakamura, Hikaru","Van Foreest, Jorden",2736,2702,2022.02.22,,1/2-1/2,A06,10
165,"Nakamura, Hikaru","Anand, Viswanathan",2906,2811,2014.12.08,blitz,1-0,,4.1
166,"Nakamura, Hikaru","Gupta, Abhijeet",,,2016.01.26,,1-0,D70,9.3
167,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2777,2779,2018.10.11,,0-1,D85,2.3
168,"Nakamura, Hikaru","Christiansen, Larry",2520,2566,2003.01.13,,1/2-1/2,E48,5
169,"Nakamura, Hikaru","Nielsen, Peter Heine",2430,2642,2002.03.09,swiss,1/2-1/2,B12,9
170,"So, Wesley","Nakamura, Hikaru",2772,2736,2021.08.13,blitz,1/2-1/2,,8.4
171,"Nakamura, Hikaru","Topalov, Veselin",2805,2736,2019.05.12,blitz,1-0,,23.1
172,"Nakamura, Hikaru","Juhasz, Kornel",2736,2474,2021.02.02,,1-0,B11,4
173,"Kuzubov, Yuriy","Nakamura, Hikaru",2643,2736,2020.09.08,,1/2-1/2,E10,2.1
174,"Nakamura, Hikaru","Van Wely, Loek",2775,2654,2014.06.17,swiss (rapid),1-0,B43,7
175,"Nakamura, Hikaru","Martirosyan, Haik M",2736,2622,2020.11.12,,0-1,C65,1
176,"Radjabov, Teimour","Nakamura, Hikaru",2759,2761,2019.05.19,,1/2-1/2,,4.1
177,"Nakamura, Hikaru","Kudrin, Sergey",2676,2607,2004.10.16,swiss,1-0,B70,4
178,"Nakamura, Hikaru","Dubov, Daniil",2736,2699,2020.06.03,,0-1,B35,3.32
179,"Nakamura, Hikaru","Tkachiev, Vladislav",,,2002.11.29,,1-0,E34,9
180,"Wojtkiewicz, Adam","Nakamura, Hikaru",2539,2620,2004.11.09,,1/2-1/2,D11,2
181,"Nakamura, Hikaru","Karjakin, Sergey",2776,2760,2015.02.16,,1-0,A33,3
182,"Nakamura, Hikaru","Nepomniachtchi, Ian",2754,2775,2019.07.31,blitz,1/2-1/2,,12.3
183,"Nakamura, Hikaru","Shipov, Sergei",2494,2613,2002.08.18,,0-1,D85,2.3
184,"Carlsen, Magnus","Nakamura, Hikaru",2832,2786,2018.01.03,k.o. (blitz),1/2-1/2,B72,4.16
185,"Carlsen, Magnus","Nakamura, Hikaru",2863,2736,2020.08.20,,1-0,A28,2.76
186,"Riazantsev, Alexander","Nakamura, Hikaru",2649,2746,2018.12.28,swiss (rapid),0-1,A81,12
187,"Nakamura, Hikaru","Pelletier, Yannick",2660,2603,2005.07.21,,1-0,C02,5
188,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2736,2780,2019.12.28,rapid,1/2-1/2,B50,12.2
189,"Hahn, Anna","Nakamura, Hikaru",2260,2260,1999.??.??,swiss,1-0,E97,4
190,"Nakamura, Hikaru","Hou, Yifan",2777,2658,2018.07.26,,1-0,A06,1.14
191,"Nakamura, Hikaru","Tang, Andrew",2736,2538,2020.11.10,swiss,0-1,C60,4
192,"Ye, Cheng","Nakamura, Hikaru",2361,2520,2003.03.17,swiss (blitz),0-1,D15,5
